display  D   display_settings.c:506  _al_score_display_settings       [   0.17325] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.17326] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17328] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.17329] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17330] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17331] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17332] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.17333] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17335] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17336] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17337] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17338] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17339] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.17340] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17342] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.17343] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17344] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.17345] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17347] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.17348] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17349] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17350] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
